Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Acorde: Dulce (product.metafields.custom.acorde_dulce),c_f.product_card_marquee (product.metafields.custom.c_f_product_card_marquee),Género (product.metafields.custom.genero),Notas de salida (product.metafields.custom.notas_de_salida),Tamaño (product.metafields.custom.tamano),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Número de calificaciones del producto (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Ocasión (product.metafields.shopify.occasion),Aroma (product.metafields.shopify.scent),Estación (product.metafields.shopify.season),Sexo objetivo (product.metafields.shopify.target-gender),Productos complementarios (product.metafields.shopify--discovery--product_recommendation.complementary_products),Productos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products),Configuración de productos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products_display),Impulsos de productos en la búsqueda (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
esta-fleur-volare-edp-floral-fresco-elegante-100ml,Esta Fleur Volare | EDP Floral Fresco Elegante | 100ml,"<h2>Esta Fleur: Flor Elegante</h2><p><strong>Esta Fleur de Volare</strong> es una fragancia floral fresca que representa la flor elegante. Una composición delicada y sofisticada que combina flores nobles con notas frescas y dulces, creando un perfume floral y refinado.</p><h3>Notas Olfativas</h3><p><strong>Notas de Salida:</strong> Bergamota, pera, frutas dulces y notas florales que aportan una apertura frutal, cítrica y floral elegante</p><p><strong>Notas de Corazón:</strong> Rosa, jazmín, iris y flores blancas que crean un corazón floral-fresco delicado y sofisticado</p><p><strong>Notas de Fondo:</strong> Almizcle, ámbar, vainilla y maderas suaves que proporcionan una base cálida, dulce y duradera</p><h3>Características</h3><p>Esta fragancia ofrece una buena longevidad de 6-8 horas con una proyección moderada. Su carácter floral-fresco la hace perfecta para todas las estaciones, ideal para el día a día y ocasiones elegantes.</p><h3>Perfecto Para</h3><p>Esta Fleur es ideal para quienes aprecian las fragancias florales frescas elegantes y delicadas. Su flor elegante la hace perfecta para destacar con sofisticación y feminidad.</p>",Volare,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Eau de Parfum,"100ml, Floral, Fresco, Perfumes arabes, Unisex, Volare",true,Tamaño,100 ml,,,,,,,,,350.0,shopify,10,deny,manual,29.00,,true,true,100.0,ml,1,ml,'6297001571521,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/IMG-1562.jpg?v=1770386003,1,"",false,Esta Fleur Volare 100ml | Perfume Floral Fresco Elegante,"Esta Fleur de Volare: EDP floral fresco de 100ml. Notas de rosa, pera y vainilla. Flor elegante. Compra en Nur Aromas.",479,,,,,,,,,,,,,,,,,,,diario; formal,,otono; primavera; verano; invierno,,,,,,,kg,,,active
esta-fleur-volare-edp-floral-fresco-elegante-100ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/ChatGPT_Image_12._Dez._2025_22_47_53.png?v=1770386048,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
society-974-volare-edp-aromatico-amaderado-elegante-100ml,Society 974 Volare | EDP Aromático Amaderado Elegante | 100ml,"<h2>Society 974: Elegancia de la Sociedad</h2><p><strong>Society 974 de Volare</strong> es una fragancia aromática amaderada que representa la elegancia de la sociedad. Una composición sofisticada y distinguida que combina notas aromáticas con maderas y especias, creando un perfume elegante y refinado.</p><h3>Notas Olfativas</h3><p><strong>Notas de Salida:</strong> Bergamota, limón, lavanda y menta que aportan una apertura cítrica, aromática y fresca elegante</p><p><strong>Notas de Corazón:</strong> Cedro, pachulí, geranio y especias que crean un corazón amaderado-aromático sofisticado y distinguido</p><p><strong>Notas de Fondo:</strong> Almizcle, ámbar, vainilla y maderas que proporcionan una base cálida, dulce y duradera</p><h3>Características</h3><p>Esta fragancia ofrece una buena longevidad de 6-8 horas con una proyección moderada. Su carácter aromático-amaderado la hace perfecta para todas las estaciones, ideal para el día a día y ocasiones profesionales.</p><h3>Perfecto Para</h3><p>Society 974 es ideal para quienes aprecian las fragancias aromáticas amaderadas elegantes y sofisticadas. Su elegancia de sociedad la hace perfecta para destacar con distinción y refinamiento.</p>",Volare,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Eau de Parfum,"100ml, Amaderado, Aromático, Perfumes arabes, Unisex, Volare",true,Tamaño,100 ml,,,,,,,,,350.0,shopify,10,deny,manual,29.90,,true,true,100.0,ml,1,ml,'6297001571514,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/1.jpg?v=1770385523,1,"",false,Society 974 Volare 100ml | Perfume Aromático Amaderado Elegante,"Society 974 de Volare: EDP aromático amaderado de 100ml. Notas de cedro, bergamota y ámbar. Elegancia de sociedad. Compra en Nur Aromas.",479,,,,,,,,,,,,,,,,,,,diario; formal,,otono; primavera; verano; invierno,,,,,,,kg,,,active
society-974-volare-edp-aromatico-amaderado-elegante-100ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/Volare_2Society974.jpg?v=1770385523,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shaghaf-oud-swiss-arabian-edp-oriental-oud-intenso-75ml,Shaghaf Oud Swiss Arabian | EDP Oriental Oud Intenso | 75ml,"<h2>Shaghaf Oud: Pasión por el Oud</h2><p><strong>Shaghaf Oud de Swiss Arabian</strong> es una fragancia oriental amaderada que representa la pasión por el oud. Una composición intensa y lujosa que combina oud noble con especias orientales y notas dulces, creando un perfume oud y distinguido.</p><h3>Notas Olfativas</h3><p><strong>Notas de Salida:</strong> Bergamota, azafrán, cardamomo y especias que aportan una apertura cítrica, especiada y oud intensa</p><p><strong>Notas de Corazón:</strong> Oud, rosa, pachulí y especias orientales que crean un corazón amaderado-oriental intenso y lujoso</p><p><strong>Notas de Fondo:</strong> Almizcle, ámbar, vainilla y maderas preciosas que proporcionan una base cálida, dulce y extremadamente duradera</p><h3>Características</h3><p>Esta fragancia ofrece una excelente longevidad de 8-10 horas con una proyección muy fuerte. Su carácter oriental-oud la hace perfecta para todas las estaciones, ideal para ocasiones especiales y eventos elegantes.</p><h3>Perfecto Para</h3><p>Shaghaf Oud es ideal para quienes aprecian las fragancias orientales de oud intensas y lujosas. Su pasión por el oud la hace perfecta para destacar con elegancia y distinción.</p>",Swiss Arabian,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Eau de Parfum,"75ml, Oriental, Oud, Perfumes arabes, Swiss Arabian, Unisex",true,Tamaño,75 ml,,,,,,,,,300.0,shopify,10,deny,manual,49.90,,true,true,75.0,ml,1,ml,'6295124024108,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/135613-219063-0-0.jpg?v=1770384688,1,"",false,Shaghaf Oud Swiss Arabian 75ml | Perfume Oriental Oud Intenso,"Shaghaf Oud de Swiss Arabian: EDP oriental oud de 75ml. Notas de oud, azafrán y vainilla. Pasión por el oud. Compra en Nur Aromas.",479,,,,,,,,,,,,,,,,,,,ocasion-especial,,otono; primavera; verano; invierno,,,,,,,kg,,,active
shaghaf-oud-swiss-arabian-edp-oriental-oud-intenso-75ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/135613-219063-1-1.jpg?v=1770384714,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wajd-swiss-arabian-edp-oriental-floral-intenso-75ml,Wajd Swiss Arabian | EDP Oriental Floral Intenso | 75ml,"<h2>Wajd: Pasión Oriental Floral</h2><p><strong>Wajd de Swiss Arabian</strong> es una fragancia oriental floral que representa la pasión. Una composición intensa y seductora que combina flores nobles con especias orientales y notas dulces, creando un perfume apasionado y cautivador.</p><h3>Notas Olfativas</h3><p><strong>Notas de Salida:</strong> Bergamota, azafrán, frutas dulces y especias que aportan una apertura cítrica, especiada y apasionada intensa</p><p><strong>Notas de Corazón:</strong> Rosa, jazmín, oud y especias orientales que crean un corazón floral-oriental intenso y seductor</p><p><strong>Notas de Fondo:</strong> Almizcle, ámbar, vainilla y maderas preciosas que proporcionan una base cálida, dulce y extremadamente duradera</p><h3>Características</h3><p>Esta fragancia ofrece una excelente longevidad de 8-10 horas con una proyección muy fuerte. Su carácter oriental-floral la hace perfecta para todas las estaciones, ideal para ocasiones especiales y eventos nocturnos.</p><h3>Perfecto Para</h3><p>Wajd es ideal para quienes aprecian las fragancias orientales florales intensas y apasionadas. Su pasión oriental la hace perfecta para destacar con intensidad y seducción.</p>",Swiss Arabian,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Eau de Parfum,"75ml, Floral, Oriental, Perfumes arabes, Swiss Arabian, Unisex",true,Tamaño,75 ml,,,,,,,,,300.0,shopify,10,deny,manual,59.90,,true,true,75.0,ml,1,ml,'6295124024092,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/gharaam.jpg?v=1770384381,1,"",false,Wajd Swiss Arabian 75ml | Perfume Oriental Floral Intenso,"Wajd de Swiss Arabian: EDP oriental floral de 75ml. Notas de rosa, oud y vainilla. Pasión oriental. Compra en Nur Aromas.",479,,,,,,,,,,,,,,,,,,,ocasion-especial,,otono; primavera; verano; invierno,,,,,,,kg,,,active
wajd-swiss-arabian-edp-oriental-floral-intenso-75ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/wajd___200618.jpg?v=1770384463,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vanilla-01-swiss-arabian-edp-gourmand-vainilla-premium-75ml,Vanilla 01 Swiss Arabian | EDP Gourmand Vainilla Premium | 75ml,"<h2>Vanilla 01: Vainilla Premium Gourmand</h2><p><strong>Vanilla 01 de Swiss Arabian</strong> es una fragancia gourmand que representa la vainilla premium. Una composición dulce y seductora que combina vainilla noble con especias y notas dulces, creando un perfume gourmand y distinguido.</p><h3>Notas Olfativas</h3><p><strong>Notas de Salida:</strong> Bergamota, frutas dulces y especias que aportan una apertura frutal, cítrica y dulce premium</p><p><strong>Notas de Corazón:</strong> Vainilla de Madagascar, vainilla bourbon, caramelo y especias que crean un corazón gourmand-vainilla dulce y seductor</p><p><strong>Notas de Fondo:</strong> Almizcle, ámbar, tonka y maderas suaves que proporcionan una base cálida, dulce y extremadamente duradera</p><h3>Características</h3><p>Esta fragancia ofrece una excelente longevidad de 8-10 horas con una proyección fuerte. Su carácter gourmand-vainilla la hace perfecta para todas las estaciones, ideal para ocasiones especiales y eventos elegantes.</p><h3>Perfecto Para</h3><p>Vanilla 01 es ideal para quienes aprecian las fragancias gourmand de vainilla premium dulces y seductoras. Su vainilla noble la hace perfecta para destacar con dulzura y sensualidad.</p>",Swiss Arabian,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Eau de Parfum,"75ml, Gourmand, Perfumes arabes, Swiss Arabian, Unisex, Vainilla",true,Tamaño,75 ml,,,,,,,,,300.0,shopify,9,deny,manual,64.90,,true,true,75.0,ml,1,ml,'6295124024085,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/590328_500.webp?v=1770384120,1,"",false,Vanilla 01 Swiss Arabian 75ml | Perfume Gourmand Vainilla Premium,"Vanilla 01 de Swiss Arabian: EDP gourmand de 75ml. Notas de vainilla de Madagascar, caramelo y ámbar. Vainilla premium. Compra en Nur Aromas.",479,,,,,,,,,,,,,,,,,,,ocasion-especial,,otono; primavera; verano; invierno,,,,,,,kg,,,active
vanilla-01-swiss-arabian-edp-gourmand-vainilla-premium-75ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/images_a92096a4-99d9-4732-a574-9d42631ed865.jpg?v=1770384143,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rose-01-swiss-arabian-edp-floral-rosa-premium-75ml-1,Rose 01 Swiss Arabian | EDP Floral Rosa Premium | 75ml,"<h2>Rose 01: Rosa Premium Floral</h2><p><strong>Rose 01 de Swiss Arabian</strong> es una fragancia floral que representa la rosa premium. Una composición elegante y sofisticada que combina rosas nobles con flores y notas dulces, creando un perfume floral y distinguido.</p><h3>Notas Olfativas</h3><p><strong>Notas de Salida:</strong> Bergamota, frutas dulces y notas florales que aportan una apertura frutal, cítrica y floral premium</p><p><strong>Notas de Corazón:</strong> Rosa damascena, rosa búlgara, jazmín y flores nobles que crean un corazón floral-rosa elegante y sofisticado</p><p><strong>Notas de Fondo:</strong> Almizcle, ámbar, vainilla y maderas suaves que proporcionan una base cálida, dulce y duradera</p><h3>Características</h3><p>Esta fragancia ofrece una excelente longevidad de 8-10 horas con una proyección fuerte. Su carácter floral-rosa la hace perfecta para todas las estaciones, ideal para ocasiones especiales y eventos elegantes.</p><h3>Perfecto Para</h3><p>Rose 01 es ideal para quienes aprecian las fragancias florales de rosa premium elegantes y sofisticadas. Su rosa noble la hace perfecta para destacar con elegancia y feminidad.</p>",Swiss Arabian,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Eau de Parfum,"75ml, Floral, Perfumes arabes, Rosa, Swiss Arabian, Unisex",true,Tamaño,75 ml,,,,,,,,,300.0,shopify,10,deny,manual,64.90,,true,true,75.0,ml,1,ml,'6295124024061,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/MUSK-01.jpg?v=1770250573,1,"",false,Rose 01 Swiss Arabian 75ml | Perfume Floral Rosa Premium,"Rose 01 de Swiss Arabian: EDP floral de 75ml. Notas de rosa damascena, jazmín y vainilla. Rosa premium. Compra en Nur Aromas.",479,,,,,,,,,,,,,,,,,,,ocasion-especial,,otono; primavera; verano; invierno,,,,,,,kg,,,active
rose-01-swiss-arabian-edp-floral-rosa-premium-75ml-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/713r9VywreL._AC_UF894_1000_QL80.jpg?v=1770250538,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
